close,high,low,open,time,volumefrom,volumeto,timestamp
71.59,74.02,71.56,74.02,1508652000,71.49,5118.58,2017-10-21 23:00:00
73.48,73.5,71.59,71.59,1508655600,27.06,1988.46,2017-10-22 00:00:00
73.74,73.74,73.48,73.48,1508659200,1.7,125.0,2017-10-22 01:00:00
73.58,73.74,73.55,73.74,1508662800,3006.7,221230.42,2017-10-22 02:00:00
73.58,73.58,73.58,73.58,1508666400,0.0,0.0,2017-10-22 03:00:00
72.31,73.58,72.31,73.58,1508670000,0.04245,3.07,2017-10-22 04:00:00
73.53,73.53,72.31,72.31,1508673600,2.72,200.0,2017-10-22 05:00:00
73.89,74.0,73.52,73.53,1508677200,186.44,13780.25,2017-10-22 06:00:00
73.93,74.0,73.89,73.89,1508680800,698.62,51691.64,2017-10-22 07:00:00
72.88,73.93,72.88,73.93,1508684400,1528.63,111424.62,2017-10-22 08:00:00
72.5,72.88,72.5,72.88,1508688000,148.91,10842.9,2017-10-22 09:00:00
72.87,72.88,72.5,72.5,1508691600,53.27,3882.44,2017-10-22 10:00:00
73.97,73.97,72.5,72.87,1508695200,2877.6,212114.32,2017-10-22 11:00:00
72.5,74.0,72.5,73.97,1508698800,5963.11,432706.35,2017-10-22 12:00:00
72.0,72.51,72.0,72.5,1508702400,686.21,49717.36,2017-10-22 13:00:00
71.99,72.0,71.22,72.0,1508706000,47.89,3441.82,2017-10-22 14:00:00
72.51,72.51,71.99,71.99,1508709600,33.02,2391.12,2017-10-22 15:00:00
72.46,72.51,72.0,72.51,1508713200,77.1,5587.45,2017-10-22 16:00:00
72.5,72.51,71.22,72.46,1508716800,72.45,5178.64,2017-10-22 17:00:00
71.4,72.5,71.4,72.5,1508720400,34.2,2448.77,2017-10-22 18:00:00
72.49,72.5,71.23,71.4,1508724000,137.03,9889.14,2017-10-22 19:00:00
72.31,72.49,71.23,72.49,1508727600,6.8,488.03,2017-10-22 20:00:00
71.01,72.31,71.0,72.31,1508731200,783.55,55656.97,2017-10-22 21:00:00
72.2,72.2,71.0,71.01,1508734800,354.43,25165.27,2017-10-22 22:00:00
71.0,72.2,71.0,72.2,1508738400,214.48,15240.48,2017-10-22 23:00:00
71.0,71.2,71.0,71.0,1508742000,220.98,15689.86,2017-10-23 00:00:00
